Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2023-01-03,123.63253021240234,129.39551842727084,122.74287269172645,128.78264911213327,112117500
2023-01-04,124.90771484375,127.18128340928531,123.64242739714908,125.43162222007305,89113600
2023-01-05,123.5831069946289,126.30150047855705,123.32610067708713,125.66885678017948,80962700
2023-01-06,128.13021850585938,128.79251610668766,123.45458659001618,124.56171667837158,87754700
2023-01-09,128.65414428710938,131.87668586554148,128.3971379685157,128.97047367930062,70790800
2023-01-10,129.22747802734375,129.75138537718297,126.64747490986099,128.76287866678214,63896200
2023-01-11,131.9557647705078,131.9755240444425,128.9605906771462,129.74150433319187,69458900
2023-01-12,131.8766632080078,132.71688473025435,129.92930408672314,132.34126249583184,71379600
2023-01-13,133.2111358642578,133.369300530634,130.14677464113623,130.51251723414498,57809700
2023-01-17,134.3776092529297,135.7120843078782,132.58841445883436,133.2803661632613,63646600
2023-01-18,133.65599060058594,137.01690717262807,133.47805156045354,135.24748690824802,69672800
2023-01-19,133.71531677246094,134.68404919653628,132.23255659782018,132.53899128723262,58280400
2023-01-20,136.28541564941406,136.43370070636414,132.67737218152695,133.72518688361293,80223600
2023-01-23,139.48818969726562,141.67279627654958,136.3150763566329,136.5325490508029,81760300
2023-01-24,140.891845703125,141.51460969317372,138.68748018952127,138.6973598255773,66435100
2023-01-25,140.2295379638672,140.7929788466698,137.21459000886787,139.27068541615571,65799300
2023-01-26,142.30543518066406,142.59209549504305,140.26909865118563,141.52450641893512,54105100
2023-01-27,144.25279235839844,145.53785423534342,141.43555698402906,141.51463933928596,70555800
2023-01-30,141.3564453125,143.87714018615392,141.208175354279,143.29392490593287,64015300
2023-01-31,142.6316375732422,142.6810659292456,140.64474436260411,141.05991540288298,65874500
2023-02-01,143.75852966308594,144.9249754734958,139.69578139358237,142.31531825228282,77663600
2023-02-02,149.08656311035156,149.4424109834998,146.46701173795722,147.18861728641792,118339000
2023-02-03,152.72430419921875,155.57120867700445,146.13096549784504,146.3286638458208,154357300
2023-02-06,149.98611450195312,151.3403789118004,149.04703617157855,150.81647157748358,69858300
2023-02-07,152.87254333496094,153.44587898676582,148.90863720361276,148.90863720361276,83322600
2023-02-08,150.17391967773438,152.80335083301824,149.43253973358082,152.11139923515765,64120100
2023-02-09,149.135986328125,152.55622581029445,148.69116137357645,152.0125441621068,56007100
2023-02-10,149.50230407714844,149.8290111554016,147.73018216274517,147.9677914305051,57450700
2023-02-13,152.31398010253906,152.71987521484465,149.41322512989285,149.44292440380676,62199000
2023-02-14,151.67042541503906,152.2347417014366,149.35379194828116,150.60120648274088,61707600
2023-02-15,153.77919006347656,153.94749097395436,151.35365383790918,151.58135329250317,65573800
2023-02-16,152.17535400390625,154.76919088525318,151.8189476677602,151.97733873436857,68167900
2023-02-17,151.02694702148438,151.47245120963535,149.34392280711089,150.8289468385779,59144100
2023-02-21,146.99757385253906,149.78942626925934,146.92828058675818,148.7004026088836,58867200
2023-02-22,147.42327880859375,148.4528887502369,145.69075089528818,147.3836697109664,51011300
2023-02-23,147.9083709716797,148.83898834448985,145.7699480861059,148.591484366889,48394200
2023-02-24,145.24525451660156,145.72045796846467,144.26513323484133,145.64125487541327,55469600
2023-02-27,146.44314575195312,147.68066559008122,145.97783708430148,146.23525087875586,44998500
2023-02-28,145.938232421875,147.5915569919109,145.3640214462102,145.5818261303052,50547000
2023-03-01,143.85922241210938,145.76005131760687,143.56221459109048,145.3640509605452,55479000
2023-03-02,144.45323181152344,145.24524759786468,142.46329007120497,142.93850860687647,52238100
2023-03-03,149.52212524414062,149.60132834219667,145.85906882111533,146.56197176838737,70732300
2023-03-06,152.29415893554688,154.73949959731118,151.92785785960842,152.25454983701871,87558000
2023-03-07,150.08642578125,152.49215731620518,149.62111707090608,152.16545023619062,56182000
2023-03-08,151.34373474121094,151.93775035888638,150.31412479121082,151.28433620073233,47204800
2023-03-09,149.08648681640625,152.99704649679572,148.73008049756518,152.02683517023416,53833600
2023-03-10,147.01734924316406,149.43299026055394,146.1362357677826,148.71028294188977,68572400
2023-03-13,148.96768188476562,151.61102231566625,146.2253338291279,146.33423617376167,84457100
2023-03-14,151.06654357910156,151.86845415267095,148.60141331315802,149.76962498664284,73695900
2023-03-15,151.4625244140625,151.71992308668965,148.42316862217967,149.6804929323757,77167900
2023-03-16,154.29397583007812,154.89788610113325,150.1260024664939,150.64081493684654,76161100
2023-03-17,153.4524688720703,155.17510202547024,152.7396561952458,154.52168788730708,98944600
2023-03-20,155.82850646972656,156.24432646768744,152.6109545912959,153.5217825705538,73641400
2023-03-21,157.68971252441406,157.80850958417452,154.97706384382835,155.74929005159728,73938300
2023-03-22,156.2542266845703,160.5211932163919,156.23442213481738,157.70955140928402,75701800
2023-03-23,157.34320068359375,159.9370522998922,156.10568095844206,157.24420816944678,67622100
2023-03-24,158.6500701904297,158.73916800835937,156.27403774029648,157.27394850099208,59196500
2023-03-27,156.69972229003906,159.1648674270664,156.29381212775743,158.34315238139064,52390300
2023-03-28,156.07601928710938,156.90764422361815,154.4226943488484,156.39283166414998,45992200
2023-03-29,159.16488647460938,159.4420897633789,157.75906547972215,157.7788549243155,51305700
2023-03-30,160.73898315429688,160.8478855082498,159.65986944195512,159.9172681392784,49501700
2023-03-31,163.25363159179688,163.35263923391068,160.29349343380431,160.8182007028279,68749800
2023-04-03,164.51092529296875,164.62972235607688,162.58039748524962,162.62990129702547,56976200
2023-04-04,163.97633361816406,165.1742443629799,163.461521135219,164.93665022196166,46278300
2023-04-05,162.12498474121094,163.40211360465116,160.18456219964705,163.0952111184354,51511700
2023-04-06,163.01605224609375,163.3130600930005,160.38260583340545,160.8083054990294,45390100
2023-04-10,160.4122772216797,160.4122772216797,158.48174921205518,159.80836691031573,47716900
2023-04-11,159.19456481933594,160.7389872555695,158.90745173956898,160.72909253457362,47644200
2023-04-12,158.50155639648438,160.441979159197,158.18474404786926,159.61036940374873,50133100
2023-04-13,163.90704345703125,164.14465273087802,159.80837789845614,160.01628790137767,68445600
2023-04-14,163.56053161621094,164.6594498569072,162.18441013519882,162.9467114928456,49386500
2023-04-17,163.58033752441406,163.73874370809605,162.39232135968928,163.4417358903036,41516200
2023-04-18,164.8079833984375,165.7386009608918,163.9961629353784,164.44168227100437,49923000
2023-04-19,165.95639038085938,166.48109766330478,163.8872454167369,164.14465925023921,47720200
2023-04-20,164.9861602783203,166.19398100625685,163.90704646438456,164.43175373561738,52456400
2023-04-21,163.3724365234375,164.78815208279067,162.8477292777316,163.40213579346278,58337300
2023-04-24,163.67933654785156,163.94664508043508,162.25371118266517,163.35262947612597,41949600
2023-04-25,162.13491821289062,164.64955210777222,162.09530911482935,163.5407390651718,48714100
2023-04-26,162.12498474121094,163.62981301273985,161.1745780165714,161.43197669065242,45498800
2023-04-27,166.7285919189453,166.87708827078586,163.54073931024718,163.54073931024718,64902300
2023-04-28,167.9859161376953,168.1542321598927,166.2038993325892,166.80780972743617,55209200
2023-05-01,167.8968048095703,168.74821914844807,166.95629265889536,167.5899022757501,52472900
2023-05-02,166.85728454589844,168.6492261368123,165.86726857821876,168.3918123170909,48425700
2023-05-03,165.77818298339844,169.21353985292495,165.4910849784499,167.80771888799373,65136000
2023-05-04,164.13473510742188,165.3722550253471,162.66951575440282,163.24372680909343,81235400
2023-05-05,171.83706665039062,172.55977402605672,169.055109287866,169.27291399392053,113316400
2023-05-08,171.76776123046875,172.1142728432519,170.39163971305302,170.75794076749395,55962800
2023-05-09,170.05506896972656,171.80738658228358,169.88676804624944,171.32228836356919,45326900
2023-05-10,171.8271484375,172.2924570953219,170.18371850163723,171.2925465255573,53724500
2023-05-11,172.01527404785156,172.84688383352895,170.4510470092042,172.11428168700377,49514700
2023-05-12,171.08334350585938,172.56049770571425,169.5268615509656,172.12428581702207,45497800
2023-05-15,170.58766174316406,171.71784028672823,169.99282456135643,171.6682680003546,37266700
2023-05-16,170.58766174316406,171.6484360603376,170.31998349861684,170.50834911043384,42110300
2023-05-17,171.20233154296875,171.4402543357864,168.9518826544196,170.23077817517168,57951600
2023-05-18,173.54200744628906,173.73037308197308,171.0932844370763,171.50966446616422,65496700
2023-05-19,173.6510467529297,174.87044639396197,173.43294078431077,174.87044639396197,55772400
2023-05-22,172.69932556152344,173.20494177332736,171.95578654636702,172.481219573557,43570900
2023-05-23,170.08206176757812,171.88639029719062,169.80447509030535,171.6385439691014,50747300
2023-05-24,170.3596649169922,170.9346702690374,169.05104404436648,169.61612586083143,45143500
2023-05-25,171.49974060058594,172.4018896852921,170.21093674442764,170.92473533776644,56058300
2023-05-26,173.91871643066406,174.2557989304357,171.61871039409903,171.82690796374212,54835000
2023-05-30,175.77259826660156,177.44804166812344,175.0488913092159,175.43553093054112,55964400
2023-05-31,175.7230682373047,177.8049837003616,175.23728392863376,175.80238088733307,99625300
2023-06-01,178.53857421875,178.56831456742498,175.4057930547119,176.16916396782793,68901800
2023-06-02,179.39117431640625,180.21402596420296,177.71573067078862,179.4704869589175,61945900
2023-06-05,178.032958984375,183.35669275593358,176.50621727974132,181.05668691999816,121946500
2023-06-06,177.66615295410156,178.56830201271356,175.90147333520082,178.41960027979346,64848400
2023-06-07,176.28814697265625,179.64894264257165,175.79245430672572,176.90280103766142,61944600
2023-06-08,179.0144500732422,179.28211321134853,175.93124119908015,176.36743802214428,50214900
2023-06-09,179.401123046875,180.66017171429786,179.07396402332154,179.9364645498358,48870700
2023-06-12,182.20669555664062,182.30584013644759,179.4109969086846,179.70841552076647,54274900
